cycle_id,temp_max,temp_mean,temp_max_reported,current_mean,voltage_mean,soc_min,soc_max,ambient_temp_mean,heating_power_mean,trip_duration_s
TripA01,22.0,21.940140733399403,23.0,-11.953475718533202,388.4839960356789,81.5,86.9,30.769972249752232,85.0,1008.9
TripA02,26.0,24.97295966029724,27.0,-20.3847381457891,381.5538365180467,66.9,80.3,31.127573248407643,85.0,1412.9
TripA23,17.0,16.88625458852868,17.0,-11.885932544600038,388.4450596479954,81.8,87.4,19.242787362363323,977.2748059543449,1042.5
TripA24,19.0,18.10383130026306,19.0,-31.208108714768883,380.9069252104472,74.2,81.9,18.713402643742956,1065.3781828260053,532.1
TripA25,20.0,19.54332157466894,21.0,-26.908418855382195,377.40431468467284,65.1,74.4,17.96096680346139,1414.107541254753,762.6
TripA26,20.0,19.427483562833395,21.0,-10.194972708100732,388.00584852995905,78.7,86.2,22.40776082371914,0.0,1612.1
TripA27,22.0,21.513760266933268,23.0,-12.985331630092478,382.97005850587357,66.8,78.5,23.770714193951513,0.0,2000.4
TripA28,19.0,18.659684497017665,20.0,-12.651491796857076,385.5036181744666,72.0,81.9,20.86199575820142,354.8653490800643,1743.5
TripA29,21.0,20.45276180059746,21.0,-12.928718412247946,380.38580453323374,63.1,71.0,22.205843032860344,0.0,1338.9
TripA30,20.0,20.0,20.0,-7.170122970516673,389.0909417961929,80.9,85.5,19.73754043724059,0.0,1397.3
TripA31,22.0,20.746353833192924,22.0,-17.095472620050547,384.22493091828136,71.9,81.0,20.33050547598989,356.38266217354675,1186.9
TripA32,26.0,23.888717856715704,27.0,-35.867802296376034,378.4957110393494,59.5,86.5,29.06001196029183,2.430452697045808,1672.1
